score_id,score,created_at,updated_at,diff_id,lang_id,user_id,accuracy,typing_count
1,2619,2025-03-27 02:20:21.873582+00,2025-03-27 02:20:21.873592+00,1,1,ab2d5d1d-c013-4486-8313-a96500b7b6b7,0.87,301
2,2645,2025-04-02 01:34:00.607934+00,2025-04-02 01:34:00.607944+00,2,1,29a91abd-7963-46c8-96ff-3a074cf2d6f5,0.76,348
3,2203,2025-04-02 01:34:02.690867+00,2025-04-02 01:34:02.690879+00,2,1,318b4c0b-52f5-43c0-ad13-b41e1baf03c9,0.81,272
4,2288,2025-04-02 01:34:05.933195+00,2025-04-02 01:34:05.933207+00,2,1,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200,0.87,263
5,3266,2025-04-02 01:34:06.415979+00,2025-04-02 01:34:06.415989+00,2,1,9f27d136-09de-407f-b405-7120b2d55daa,0.89,367
6,2291,2025-04-02 01:34:08.612685+00,2025-04-02 01:34:08.612695+00,2,1,ed7db178-e6d4-4007-8bbe-cd6781641ae6,0.83,276
7,2065,2025-04-02 01:34:09.328424+00,2025-04-02 01:34:09.328434+00,2,1,eb06d3ea-4a70-462c-9f56-d5e1979eb96f,0.93,222
8,2718,2025-04-02 01:34:13.436326+00,2025-04-02 01:34:13.436337+00,2,1,683c0b43-1d2d-4e5a-b3ee-00de940a021c,0.77,353
9,3837,2025-04-02 01:34:17.516242+00,2025-04-02 01:34:17.516253+00,2,1,5f19c80d-8883-42f3-9257-f9f899f703d9,0.87,441
10,2757,2025-04-02 01:34:37.98902+00,2025-04-02 01:34:37.98903+00,2,1,ff7cd6c3-bd30-42e3-987e-3fafeaea72e9,0.91,303
11,2191,2025-04-02 01:39:22.25738+00,2025-04-02 01:39:22.257392+00,2,1,7b341d92-c6ef-4d5d-bf17-6551f9842b9f,0.83,264
12,1647,2025-04-02 01:39:48.990197+00,2025-04-02 01:39:48.990208+00,2,1,575e0431-1085-4d49-9191-86fd4695b554,0.71,232
13,3096,2025-04-02 01:39:56.603343+00,2025-04-02 01:39:56.603353+00,2,1,78d9548f-bbcf-4129-a8a7-e0a841a295b3,0.83,373
14,2895,2025-04-02 01:40:08.413595+00,2025-04-02 01:40:08.413605+00,2,1,6bdcd97d-6502-462a-84f1-b5d3afefa313,0.88,329
15,3375,2025-04-02 01:40:49.197107+00,2025-04-02 01:40:49.197118+00,2,1,522f3d6d-e633-426b-bf51-b50dee27ec96,0.9,375
16,1677,2025-04-02 01:40:56.746161+00,2025-04-02 01:40:56.74617+00,2,1,327e4006-267d-40b0-88bb-2c4e84cefcad,0.64,262
17,2970,2025-04-02 01:40:57.851527+00,2025-04-02 01:40:57.851539+00,2,1,ed7db178-e6d4-4007-8bbe-cd6781641ae6,0.9,330
18,2896,2025-04-02 01:40:58.225734+00,2025-04-02 01:40:58.225742+00,2,1,29a91abd-7963-46c8-96ff-3a074cf2d6f5,0.76,381
19,2985,2025-04-02 01:41:05.549599+00,2025-04-02 01:41:05.549609+00,2,1,683c0b43-1d2d-4e5a-b3ee-00de940a021c,0.82,364
20,3318,2025-04-02 02:10:16.188843+00,2025-04-02 02:10:16.188855+00,2,1,683c0b43-1d2d-4e5a-b3ee-00de940a021c,0.84,395
21,2178,2025-04-02 04:35:16.907939+00,2025-04-02 04:35:16.907948+00,2,1,604a9905-049d-4602-9495-86fa730795bf,0.9,242
22,2025,2025-04-02 08:09:38.286044+00,2025-04-02 08:09:38.286058+00,2,1,7b341d92-c6ef-4d5d-bf17-6551f9842b9f,0.77,263
23,2204,2025-04-02 08:37:49.616627+00,2025-04-02 08:37:49.616638+00,2,1,7b341d92-c6ef-4d5d-bf17-6551f9842b9f,0.79,279
24,3103,2025-04-02 09:43:28.726538+00,2025-04-02 09:43:28.726546+00,2,1,6bdcd97d-6502-462a-84f1-b5d3afefa313,0.91,341
25,3070,2025-04-02 09:44:50.97266+00,2025-04-02 09:44:50.972675+00,2,1,683c0b43-1d2d-4e5a-b3ee-00de940a021c,0.86,357
26,3446,2025-04-02 09:48:58.073665+00,2025-04-02 09:48:58.073676+00,1,1,6bdcd97d-6502-462a-84f1-b5d3afefa313,0.96,359
27,2066,2025-04-02 09:49:15.829278+00,2025-04-02 09:49:15.829287+00,2,1,327e4006-267d-40b0-88bb-2c4e84cefcad,0.72,287
28,3702,2025-04-02 09:50:00.117218+00,2025-04-02 09:50:00.11723+00,2,1,683c0b43-1d2d-4e5a-b3ee-00de940a021c,0.89,416
29,3618,2025-04-03 02:57:04.748671+00,2025-04-03 02:57:04.74868+00,2,1,9f27d136-09de-407f-b405-7120b2d55daa,0.9,402
30,2905,2025-04-03 02:58:49.742853+00,2025-04-03 02:58:49.742863+00,2,1,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200,0.94,309
31,2313,2025-04-03 03:45:35.441282+00,2025-04-03 03:45:35.441292+00,2,1,eb06d3ea-4a70-462c-9f56-d5e1979eb96f,0.9,257
32,2328,2025-04-03 03:52:50.944405+00,2025-04-03 03:52:50.944419+00,2,1,ed7db178-e6d4-4007-8bbe-cd6781641ae6,0.8,291
33,2958,2025-04-03 03:54:45.122414+00,2025-04-03 03:54:45.122424+00,2,1,6bdcd97d-6502-462a-84f1-b5d3afefa313,0.86,344
34,2967,2025-04-03 03:56:28.841196+00,2025-04-03 03:56:28.841209+00,2,1,ed7db178-e6d4-4007-8bbe-cd6781641ae6,0.91,326
35,3461,2025-04-03 03:58:05.357186+00,2025-04-03 03:58:05.357196+00,2,1,78d9548f-bbcf-4129-a8a7-e0a841a295b3,0.84,412
36,3392,2025-04-03 04:28:29.808217+00,2025-04-03 04:28:29.808231+00,2,1,683c0b43-1d2d-4e5a-b3ee-00de940a021c,0.85,399
